test_case,target_x,target_y,target_z,analytical_success,analytical_error,analytical_time,brpso_success,brpso_error,brpso_time,brpso_iterations,brpso_converged,error_reduction,performance_improvement
Easy Reach,0.3,0.0,0.1,False,0.057470519771801565,0.003789663314819336,False,inf,0.36179018020629883,0,False,0,0.010474754490733845
Easy Reach,0.09270509831248423,0.285316954888546,0.15000000000000002,True,0.038800585755743,0.0036249160766601562,False,inf,0.1998138427734375,0,False,0,0.01814146620847652
Easy Reach,-0.24270509831248419,0.17633557568774197,0.2,True,0.024284552781088643,0.0033969879150390625,False,inf,0.19552826881408691,0,False,0,0.0173733851153206
Easy Reach,-0.2427050983124842,-0.1763355756877419,0.25,True,0.021885382395646698,0.0029060840606689453,False,inf,0.1778578758239746,0,False,0,0.01633936111744125
Easy Reach,0.09270509831248416,-0.2853169548885461,0.30000000000000004,True,0.004850796745836325,0.0041849613189697266,False,inf,0.1629960536956787,0,False,0,0.02567523092788029
Medium Reach,0.3640576474687264,0.2645033635316129,-0.1,True,0.049550110257513935,0.004298686981201172,False,inf,0.19719910621643066,0,False,0,0.021798714323194048
Medium Reach,-0.13905764746872631,0.42797543233281915,-0.05,True,0.04796609148600936,0.003489971160888672,False,inf,0.23266816139221191,0,False,0,0.01499977968625273
Medium Reach,-0.45,5.5109105961630896e-17,0.0,False,0.11222097144401526,0.0036323070526123047,False,inf,0.16345596313476562,0,False,0,0.022221930500128356
Medium Reach,-0.1390576474687264,-0.4279754323328191,0.05000000000000002,True,0.03718246667212894,0.0033500194549560547,False,inf,0.352719783782959,0,False,0,0.009497679486607536
Medium Reach,0.3640576474687263,-0.264503363531613,0.1,True,0.04086630508002573,0.0063021183013916016,False,inf,0.19951820373535156,0,False,0,0.03158668323693896
Hard Reach,0.26000000000000006,0.4503332099679081,0.0,False,0.06183278922236324,0.004106044769287109,False,inf,0.19540095329284668,0,False,0,0.021013432637318794
Hard Reach,-0.3479479153066061,0.38643530924824515,0.03,False,0.057716005068640816,0.0038809776306152344,False,inf,0.22660017013549805,0,False,0,0.01712698462801048
Hard Reach,-0.47504363797415255,-0.2115030543994159,0.06,False,0.060753107635212376,0.004928112030029297,False,inf,0.2484419345855713,0,False,0,0.019836071709270556
Hard Reach,0.05435480089917955,-0.5171513855915022,0.09,True,0.011921972662592104,0.0042438507080078125,False,inf,0.19083786010742188,0,False,0,0.02223799148459832
Hard Reach,0.5086367523815789,-0.10811407922523514,0.12,False,0.05246751917883524,0.0029981136322021484,False,inf,0.1927030086517334,0,False,0,0.015558208733629857
Extreme Reach,0.3818376618407357,0.38183766184073564,-0.05,False,0.06910229774746102,0.002966165542602539,False,inf,0.19584107398986816,0,False,0,0.015145778575315582
Extreme Reach,-0.24515486985935525,0.4811435230617187,-0.030000000000000002,False,0.0687408705623355,0.002900838851928711,False,inf,0.19592714309692383,0,False,0,0.014805701783206657
Extreme Reach,-0.5333517039213744,-0.0844746111217246,-0.010000000000000002,False,0.10120676463388309,0.0037162303924560547,False,inf,0.23916292190551758,0,False,0,0.015538488837848238
Extreme Reach,-0.08447461112172476,-0.5333517039213743,0.009999999999999995,False,0.05995179276888583,0.004271745681762695,False,inf,0.20908498764038086,0,False,0,0.020430666639299586
Extreme Reach,0.48114352306171865,-0.2451548698593554,0.03,False,0.0630979237970389,0.0030307769775390625,False,inf,0.19401907920837402,0,False,0,0.015621025467727565
Edge Case 1,0.1,0.1,0.5,True,0.002534311889639273,0.0031900405883789062,False,inf,0.29198789596557617,0,False,0,0.010925249410869399
Edge Case 2,0.5,0.0,-0.3,False,0.08064996297464175,0.003326892852783203,False,inf,0.2143869400024414,0,False,0,0.015518169403161019
Near Singularity,0.02,0.52,0.0,False,0.06191296026152041,0.00296783447265625,False,inf,0.19115495681762695,0,False,0,0.015525804415774258
Complex Orientation,0.35,0.35,0.2,True,0.036850046470231636,0.003358125686645508,False,inf,0.22792601585388184,0,False,0,0.014733402301904517
